sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10
0.5463751,0.5480408,0.54494643,0.5287881,0.54805756,0.55126214,0.5475497,0.529859,0.53858775,0.5525133
0.5138475,0.51664126,0.5006194,0.44127002,0.5089227,0.5352968,0.52463764,0.46927622,0.48503098,0.5189966
0.5242558,0.52092665,0.50332206,0.44754633,0.5058356,0.54992974,0.55999374,0.51128113,0.4968201,0.50898945
0.48083645,0.4949665,0.5119869,0.56320566,0.47647375,0.4667296,0.5495213,0.5951148,0.5228912,0.46231228
0.39333642,0.4325596,0.512589,0.65809625,0.45252594,0.33714274,0.41855165,0.63032883,0.55675846,0.4148606
0.386849,0.40285438,0.5077005,0.67630786,0.47063392,0.32571942,0.3200781,0.5840209,0.58775586,0.42140102
0.4909824,0.44330236,0.49157366,0.62540877,0.5282987,0.43774274,0.32853642,0.45157066,0.57936275,0.47701022
0.6230753,0.53276205,0.46732834,0.5016177,0.5921155,0.6060382,0.42578277,0.37155977,0.50810856,0.55852723
0.6720081,0.6047554,0.4689949,0.4276255,0.6173832,0.6747889,0.59194046,0.3890846,0.42988622,0.61050403
0.6483451,0.6248315,0.5305181,0.4730606,0.58616847,0.6535062,0.6821927,0.45828125,0.4366058,0.6091919
0.56884134,0.6002226,0.6176988,0.5518244,0.5007219,0.549477,0.6908129,0.5423832,0.5341397,0.5703304
0.48918563,0.5386995,0.65269816,0.5714987,0.4108451,0.43189093,0.64517117,0.59733653,0.6225611,0.5386094
0.4658749,0.46771863,0.6200386,0.536825,0.38658908,0.42400953,0.53592,0.59762734,0.6438021,0.54031765
0.4697737,0.43774095,0.49659503,0.48578253,0.42658046,0.509663,0.41721204,0.5500918,0.6132623,0.5533378
0.47190997,0.45897752,0.3859759,0.46096903,0.49252045,0.5898331,0.3973996,0.49407575,0.56361574,0.5379389
0.4841286,0.4988113,0.39638668,0.48370498,0.55174094,0.59240824,0.47539026,0.49544546,0.5297682,0.5010195
0.5105708,0.52273476,0.5151084,0.52567786,0.58197063,0.5294128,0.57708865,0.5594106,0.51244867,0.49179068
0.52548873,0.5212695,0.6264301,0.54123026,0.58463,0.4778889,0.61345243,0.60793173,0.50096786,0.5267723
0.51948583,0.5183155,0.65942377,0.505844,0.5738912,0.48857546,0.57079035,0.59737426,0.4879491,0.55463374
0.5192684,0.5587358,0.64114404,0.44558254,0.5757834,0.52218044,0.4757198,0.5327468,0.4935422,0.5281736
0.5404234,0.6236568,0.58301735,0.41934973,0.58814746,0.5409418,0.4093883,0.48300394,0.5138856,0.4528724
0.56174594,0.6525723,0.49077174,0.4578976,0.58570546,0.53714156,0.42358997,0.49574617,0.52440363,0.39871612
0.54768556,0.63245004,0.3972051,0.558327,0.5308987,0.5260221,0.50799817,0.5421732,0.5046435,0.40868676
0.4952194,0.5445874,0.3545266,0.6288843,0.41921562,0.52968496,0.59494954,0.56530994,0.46950868,0.4891548
